Sélectionneur,Nationalité,Nomination,Départ,Durée de l'emploi,Matchs,Points/match
Didier Deschamps,France,8 juil. 2012,31 juil. 2026,5136 jours,173,2.11
Laurent Blanc,France,1 juil. 2010,30 juin 2012,730 jours,27,2.04
Raymond Domenech,France/Espagne,12 juil. 2004,30 juin 2010,2179 jours,79,1.85
Jacques Santini,France/Italie,20 juil. 2002,30 juin 2004,711 jours,28,2.50
Roger Lemerre,France,27 juil. 1998,5 juil. 2002,1439 jours,53,2.17
Aimé Jacquet,France,16 févr. 1994,12 juil. 1998,1607 jours,53,2.26
Gérard Houllier,France,1 juil. 1992,25 nov. 1993,512 jours,12,1.83
Michel Platini,France/Italie,1 oct. 1988,30 juin 1992,1368 jours,29,1.93
Henri Michel,France,13 oct. 1984,22 oct. 1988,1470 jours,36,1.72
Michel Hidalgo,France/Espagne,26 mars 1976,27 juil. 1984,3045 jours,75,1.84
Ștefan Kovács,Roumanie,1 juil. 1973,16 nov. 1975,868 jours,15,1.47
Georges Boulogne,France,2 mars 1969,26 mai 1973,1546 jours,31,1.61
Louis Dugauguez,France,17 sept. 1967,6 nov. 1968,416 jours,9,1.00
Just Fontaine,France,1 janv. 1967,1 juil. 1967,181 jours,2,0.00
Jean Snella,France,3 sept. 1966,31 déc. 1966,119 jours,4,1.50
Henri Guérin,France,20 oct. 1962,2 sept. 1966,1413 jours,26,1.08
Albert Batteux,France,17 mars 1955,5 mai 1962,2606 jours,56,1.52
Gabriel Hanot,France,1 déc. 1945,30 juin 1949,1307 jours,8,2.25
Jacques Caudron,France,1 juil. 1929,30 juin 1930,364 jours,3,1.00
Charles Griffiths,Angleterre,1 janv. 1924,30 juin 1924,181 jours,2,1.50
Fred Pentland,Angleterre,1 août 1920,1 sept. 1920,31 jours,2,1.50
Gaston Barreau,France,1 janv. 1920,31 déc. 1954,12783 jours,144,1.19
Robert Guérin,France,1 avr. 1904,1 nov. 1908,1675 jours,9,1.11

